Instruction datasets written to data/instruct
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 1.1476, 'grad_norm': 2.4533376693725586, 'learning_rate': 1.947664898146329e-05, 'epoch': 0.08}
{'loss': 1.1997, 'grad_norm': 2.776535987854004, 'learning_rate': 1.9470098906137422e-05, 'epoch': 0.08}
{'loss': 1.1353, 'grad_norm': 2.4946885108947754, 'learning_rate': 1.9463548830811557e-05, 'epoch': 0.08}
{'loss': 1.1882, 'grad_norm': 2.358527183532715, 'learning_rate': 1.945699875548569e-05, 'epoch': 0.08}
{'loss': 1.1333, 'grad_norm': 2.9052178859710693, 'learning_rate': 1.9450448680159824e-05, 'epoch': 0.08}
{'loss': 1.2227, 'grad_norm': 2.699908494949341, 'learning_rate': 1.944389860483396e-05, 'epoch': 0.08}
{'loss': 1.2057, 'grad_norm': 2.5638694763183594, 'learning_rate': 1.943734852950809e-05, 'epoch': 0.08}
{'loss': 1.1852, 'grad_norm': 3.112980604171753, 'learning_rate': 1.9430798454182226e-05, 'epoch': 0.09}
{'loss': 1.177, 'grad_norm': 2.572780132293701, 'learning_rate': 1.9424248378856357e-05, 'epoch': 0.09}
{'loss': 1.1466, 'grad_norm': 3.7610065937042236, 'learning_rate': 1.9417698303530492e-05, 'epoch': 0.09}
{'loss': 1.2336, 'grad_norm': 2.9711861610412598, 'learning_rate': 1.9411148228204627e-05, 'epoch': 0.09}
{'loss': 1.2216, 'grad_norm': 3.0105292797088623, 'learning_rate': 1.940459815287876e-05, 'epoch': 0.09}
{'loss': 1.0384, 'grad_norm': 2.4399092197418213, 'learning_rate': 1.9398048077552894e-05, 'epoch': 0.09}
{'loss': 1.1489, 'grad_norm': 3.5866990089416504, 'learning_rate': 1.9391498002227026e-05, 'epoch': 0.09}
{'loss': 1.1633, 'grad_norm': 2.7629013061523438, 'learning_rate': 1.938494792690116e-05, 'epoch': 0.09}
{'loss': 1.1729, 'grad_norm': 3.0120980739593506, 'learning_rate': 1.9378397851575296e-05, 'epoch': 0.09}
{'loss': 1.2695, 'grad_norm': 2.795598268508911, 'learning_rate': 1.9371847776249428e-05, 'epoch': 0.09}
{'loss': 1.2121, 'grad_norm': 2.6170523166656494, 'learning_rate': 1.9365297700923563e-05, 'epoch': 0.1}
{'loss': 1.0766, 'grad_norm': 2.891972064971924, 'learning_rate': 1.9358747625597695e-05, 'epoch': 0.1}
{'loss': 1.0972, 'grad_norm': 3.354607105255127, 'learning_rate': 1.935219755027183e-05, 'epoch': 0.1}
{'loss': 1.0233, 'grad_norm': 3.0814666748046875, 'learning_rate': 1.9345647474945965e-05, 'epoch': 0.1}
{'loss': 1.1691, 'grad_norm': 3.0350711345672607, 'learning_rate': 1.9339097399620096e-05, 'epoch': 0.1}
{'loss': 1.1701, 'grad_norm': 2.4354536533355713, 'learning_rate': 1.933254732429423e-05, 'epoch': 0.1}
{'loss': 1.1868, 'grad_norm': 2.63972806930542, 'learning_rate': 1.9325997248968363e-05, 'epoch': 0.1}
{'loss': 1.1852, 'grad_norm': 2.3842999935150146, 'learning_rate': 1.9319447173642498e-05, 'epoch': 0.1}
