Instruction datasets written to data/instruct
[Tue Nov 25 23:19:55 EST 2025] Step 2a: Training LoRA (TinyLlama-1.1B-Chat-v1.0 on medqa)...
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 0.9455, 'grad_norm': 2.289179563522339, 'learning_rate': 1.9358747625597695e-05, 'epoch': 0.1}
{'loss': 0.966, 'grad_norm': 2.7717275619506836, 'learning_rate': 1.935219755027183e-05, 'epoch': 0.1}
{'loss': 0.892, 'grad_norm': 2.4725735187530518, 'learning_rate': 1.9345647474945965e-05, 'epoch': 0.1}
{'loss': 1.0411, 'grad_norm': 2.7221977710723877, 'learning_rate': 1.9339097399620096e-05, 'epoch': 0.1}
{'loss': 1.0503, 'grad_norm': 2.187417984008789, 'learning_rate': 1.933254732429423e-05, 'epoch': 0.1}
{'loss': 1.0508, 'grad_norm': 2.3135902881622314, 'learning_rate': 1.9325997248968363e-05, 'epoch': 0.1}
{'loss': 1.0451, 'grad_norm': 2.1063232421875, 'learning_rate': 1.9319447173642498e-05, 'epoch': 0.1}
{'loss': 1.0428, 'grad_norm': 2.805417060852051, 'learning_rate': 1.9312897098316633e-05, 'epoch': 0.1}
{'loss': 1.0848, 'grad_norm': 2.484020233154297, 'learning_rate': 1.9306347022990765e-05, 'epoch': 0.1}
{'loss': 1.0288, 'grad_norm': 2.415928840637207, 'learning_rate': 1.92997969476649e-05, 'epoch': 0.11}
{'loss': 1.094, 'grad_norm': 2.709681272506714, 'learning_rate': 1.929324687233903e-05, 'epoch': 0.11}
{'loss': 1.1263, 'grad_norm': 2.4815256595611572, 'learning_rate': 1.9286696797013167e-05, 'epoch': 0.11}
{'loss': 1.0549, 'grad_norm': 2.690776824951172, 'learning_rate': 1.9280146721687302e-05, 'epoch': 0.11}
{'loss': 0.9378, 'grad_norm': 2.2713654041290283, 'learning_rate': 1.9273596646361434e-05, 'epoch': 0.11}
{'loss': 0.952, 'grad_norm': 2.2588160037994385, 'learning_rate': 1.926704657103557e-05, 'epoch': 0.11}
{'loss': 0.9769, 'grad_norm': 2.4461092948913574, 'learning_rate': 1.92604964957097e-05, 'epoch': 0.11}
{'loss': 0.9797, 'grad_norm': 2.2783217430114746, 'learning_rate': 1.9253946420383835e-05, 'epoch': 0.11}
{'loss': 1.0267, 'grad_norm': 2.5517473220825195, 'learning_rate': 1.924739634505797e-05, 'epoch': 0.11}
{'loss': 1.0238, 'grad_norm': 2.3578426837921143, 'learning_rate': 1.9240846269732102e-05, 'epoch': 0.11}
{'loss': 0.9954, 'grad_norm': 2.801780939102173, 'learning_rate': 1.9234296194406237e-05, 'epoch': 0.11}
{'loss': 1.0364, 'grad_norm': 3.899944305419922, 'learning_rate': 1.922774611908037e-05, 'epoch': 0.12}
{'loss': 1.014, 'grad_norm': 4.822627067565918, 'learning_rate': 1.9221196043754504e-05, 'epoch': 0.12}
{'loss': 1.1291, 'grad_norm': 2.43575119972229, 'learning_rate': 1.921464596842864e-05, 'epoch': 0.12}
{'loss': 1.143, 'grad_norm': 2.6966536045074463, 'learning_rate': 1.920809589310277e-05, 'epoch': 0.12}
{'loss': 0.9976, 'grad_norm': 2.625121593475342, 'learning_rate': 1.9201545817776906e-05, 'epoch': 0.12}
{'loss': 1.0382, 'grad_norm': 2.5779097080230713, 'learning_rate': 1.9194995742451037e-05, 'epoch': 0.12}
{'loss': 1.0263, 'grad_norm': 2.2974488735198975, 'learning_rate': 1.9188445667125173e-05, 'epoch': 0.12}
{'loss': 0.991, 'grad_norm': 2.1913905143737793, 'learning_rate': 1.9181895591799308e-05, 'epoch': 0.12}
{'loss': 0.969, 'grad_norm': 2.1263036727905273, 'learning_rate': 1.917534551647344e-05, 'epoch': 0.12}
